slug,name,status,source_count,processed_source_count,ingestion_error_count,ioc_count,ioc_observation_count,artifact_count,validation_errors,validation_warnings,ingest_seconds,render_seconds,validate_seconds
unc2633,UNC2633,complete,1,1,0,0,0,7,0,15,0,0.053,0.067
unc2639,UNC2639,complete,1,1,0,0,0,1,0,2,0,0.052,0.066
unc2640,UNC2640,complete,1,1,0,0,0,1,0,2,0,0.053,0.066
unc2643,UNC2643,complete,1,1,0,0,0,1,0,2,0,0.051,0.07
unc2652,UNC2652,complete,1,1,0,0,0,2,0,4,0,0.053,0.068
unc2727,UNC2727,complete,1,1,0,0,0,1,0,3,0,0.055,0.07
unc2758,UNC2758,complete,1,1,0,0,0,2,0,5,0,0.054,0.068
unc2891,UNC2891,complete,2,2,0,12,12,0,0,25,0,0.054,0.064
unc2970,UNC2970,complete,1,1,0,0,0,5,0,9,0,0.054,0.066
unc3313,UNC3313,complete,1,1,0,1,1,12,0,24,0,0.051,0.063
unc3319,UNC3319,complete,1,1,0,0,0,1,0,3,0,0.051,0.065
unc3347,UNC3347,complete,2,2,0,14,17,18,0,64,0,0.053,0.065
unc3507,UNC3507,complete,1,1,0,0,0,2,0,5,0,0.05,0.065
unc3569,UNC3569,complete,1,1,0,0,0,1,0,3,0,0.051,0.065
unc3622,UNC3622,complete,1,1,0,0,0,1,0,3,0,0.051,0.063
unc366,UNC366,complete,1,1,0,0,0,2,0,5,0,0.05,0.063
unc3661,UNC3661,complete,1,1,0,0,0,6,0,13,0,0.061,0.067
unc3666,UNC3666,complete,1,1,0,0,0,2,0,5,0,0.053,0.076
unc3711,UNC3711,complete,1,1,0,0,0,2,0,5,0,0.052,0.062
unc3742,UNC3742,complete,1,1,0,0,0,1,0,3,0,0.052,0.063
unc3753,UNC3753,complete,2,2,0,9,9,1,0,3,0,0.051,0.064
unc3762,UNC3762,complete,1,1,0,0,0,2,0,5,0,0.052,0.069
unc3782,UNC3782,complete,1,1,0,0,0,7,0,15,0,0.053,0.07
unc3784,UNC3784,complete,1,1,0,0,0,3,0,7,0,0.052,0.065
unc3786,UNC3786,complete,1,1,0,0,0,7,0,15,0,0.056,0.065
unc3810,UNC3810,complete,1,1,0,0,0,5,0,11,0,0.054,0.066
unc3819,UNC3819,complete,1,1,0,0,0,3,0,5,0,0.052,0.065
unc3840,UNC3840,complete,1,1,0,0,0,6,0,13,0,0.055,0.068
unc3886,UNC3886,complete,1,1,0,0,0,15,0,31,0,0.067,0.073
unc3890,UNC3890,complete,1,1,0,0,0,10,0,20,0,0.053,0.065
unc3905,UNC3905,complete,1,1,0,0,0,2,0,5,0,0.053,0.069
unc394,UNC394,complete,1,1,0,0,0,1,0,3,0,0.054,0.065
unc3973,UNC3973,complete,1,1,0,0,0,3,0,7,0,0.052,0.062
unc4034,UNC4034,complete,1,1,0,0,0,9,0,18,0,0.051,0.063
unc4131,UNC4131,complete,1,1,0,0,0,2,0,5,0,0.05,0.064
unc4166,UNC4166,complete,1,1,0,1,1,4,0,9,0,0.05,0.062
unc4191,UNC4191,complete,1,1,0,0,0,3,0,7,0,0.05,0.065
unc4209,UNC4209,complete,1,1,0,0,0,4,0,9,0,0.049,0.063
unc4210,UNC4210,complete,1,1,0,0,0,2,0,5,0,0.049,0.065
unc4221,UNC4221,complete,1,1,0,0,0,4,0,9,0,0.05,0.067
unc4369,UNC4369,complete,1,1,0,0,0,2,0,5,0,0.054,0.067
unc4393,UNC4393,complete,1,1,0,0,0,15,0,31,0,0.056,0.067
unc4444,UnC4444,complete,1,1,0,0,0,2,0,5,0,0.053,0.063
unc4453,UNC4453,complete,1,1,0,0,0,1,0,3,0,0.059,0.066
unc4466,UNC4466,complete,1,1,0,0,0,2,0,5,0,0.05,0.064
unc4469,UNC4469,complete,1,1,0,0,0,3,0,7,0,0.05,0.062
