slug,name,priority,priority_score,tracker_status,corpus_source_count,corpus_mention_count,unresolved_claim_count,partially_supported_claim_count,mitre_group_id,recommended_queries
storm-2502,Storm-2502,low,27,searched,1,1,2,0,,"[""\""Storm-2502\"" threat actor official advisory"", ""\""Storm-2502\"" attribution relationship malware"", ""\""Storm-2502\"" contradiction disputed attribution""]"
ta580,TA580,low,27,searched,1,1,2,0,,"[""\""TA580\"" threat actor official advisory"", ""\""TA580\"" attribution relationship malware"", ""\""TA580\"" contradiction disputed attribution""]"
ta582,TA582,low,27,searched,1,1,2,0,,"[""\""TA582\"" threat actor official advisory"", ""\""TA582\"" attribution relationship malware"", ""\""TA582\"" contradiction disputed attribution""]"
tag-26,TAG-26,low,27,searched,1,1,2,0,,"[""\""TAG-26\"" threat actor official advisory"", ""\""TAG-26\"" attribution relationship malware"", ""\""TAG-26\"" contradiction disputed attribution""]"
the-whois-hacking-team,The Whois Hacking Team,low,27,searched,1,1,2,0,,"[""\""The Whois Hacking Team\"" threat actor official advisory"", ""\""The Whois Hacking Team\"" attribution relationship malware"", ""\""The Whois Hacking Team\"" contradiction disputed attribution""]"
uac-0084,UAC-0084,low,27,searched,1,1,2,0,,"[""\""UAC-0084\"" threat actor official advisory"", ""\""UAC-0084\"" attribution relationship malware"", ""\""UAC-0084\"" contradiction disputed attribution""]"
uac-0101,UAC-0101,low,27,searched,1,1,2,0,,"[""\""UAC-0101\"" threat actor official advisory"", ""\""UAC-0101\"" attribution relationship malware"", ""\""UAC-0101\"" contradiction disputed attribution""]"
uac-0104,UAC-0104,low,27,searched,1,1,2,0,,"[""\""UAC-0104\"" threat actor official advisory"", ""\""UAC-0104\"" attribution relationship malware"", ""\""UAC-0104\"" contradiction disputed attribution""]"
uac-0105,UAC-0105,low,27,searched,1,1,2,0,,"[""\""UAC-0105\"" threat actor official advisory"", ""\""UAC-0105\"" attribution relationship malware"", ""\""UAC-0105\"" contradiction disputed attribution""]"
uac-0108,UAC-0108,low,27,searched,1,1,2,0,,"[""\""UAC-0108\"" threat actor official advisory"", ""\""UAC-0108\"" attribution relationship malware"", ""\""UAC-0108\"" contradiction disputed attribution""]"
