actor_id,canonical_name,mitre_group_id,is_profiled,catalog_slugs,mention_source_count,mention_count,aliases
actor-census--sha256:e0ff045246184ebd234f84f9f5071d7080374cf5c6589a255847a86562b3dba5,Bohrium,,false,[],9,17,"[""BOHRIUM"", ""Bohrium"", ""Smoke Sandstorm""]"
actor-census--sha256:6b9f1c095e394e41940fb54124a3dd1318b83e14d97f69bb31a7b51dd3651b08,Boson Spider,,false,[],2,5,"[""Boson Spider""]"
actor-census--sha256:73680de257c4f9e1c2b3e2a132b6f3b5c5b2abd4e1485559c2ddae19b5aafd42,Calypso,,false,[],16,58,"[""Calypso"", ""Comment Crew"", ""Links to Skyipot"", ""Mirage"", ""Pitty Tiger""]"
actor-census--sha256:74486327512fbcafd26aa0336920ab1a4442c4174c1934287bc87eb1b1deed1c,Carberb,,false,[],1,1,"[""Carberb""]"
actor-census--mitre:G0114,Chimera,G0114,false,[],4,11,"[""Chimera""]"
actor-census--sha256:ae391de9c5171466f31ef5ac920cfd3901bcc01aa28c2b02dc13b1ab3d6f2063,Chimera,,false,[],10,24,"[""Chimera"", ""GELSEMIUM""]"
actor-census--sha256:ad043fe9f2d17c41a637f048e5a304f213beabeaed9f0658c8ce43754968bd54,ChinaZ,,false,[],1,5,"[""ChinaZ""]"
actor-census--mitre:G1021,Cinnamon Tempest,G1021,false,[],4,15,"[""BRONZE STARLIGHT"", ""Cinnamon Tempest"", ""DEV-0401"", ""Emperor Dragonfly""]"
actor-census--sha256:7213bae7367310d54926f09bd672606322dcca32f34f78f8c891130e9f5285e1,Cinnamon Tempest,,false,[],4,15,"[""Bronze Starlight"", ""Cinnamon Tempest"", ""DEV-0401"", ""Emperor Dragonfly""]"
actor-census--sha256:c1d56aaf187dffbb970031625d4e6717fa76a9a7e1912d7c5669ece41ba9565d,CL-STA-0043,,false,[],1,3,"[""CL-STA-0043""]"
actor-census--sha256:4a26ada8b77530bb7c31f2b96a4b9b0b691c6aaa3fab7983ace99f760223400a,CL-STA-0048,,false,[],1,2,"[""CL-STA-0048""]"
actor-census--mitre:G0003,Cleaver,G0003,false,[],5,22,"[""Cleaver"", ""TG-2889"", ""Threat Group 2889""]"
actor-census--sha256:f727eb516238f36a46f61d374962fcde1d248012a409aa8f8a4ac848c19dad94,Clever Kitten,,false,[],5,23,"[""Clever Kitten"", ""Group 41""]"
actor-census--mitre:G0080,Cobalt Group,G0080,false,[],11,37,"[""Cobalt Gang"", ""Cobalt Group"", ""Cobalt Spider"", ""GOLD KINGSWOOD"", ""Magecart Group 4""]"
actor-census--mitre:G1052,Contagious Interview,G1052,false,[],18,61,"[""Contagious Interview"", ""DeceptiveDevelopment"", ""DEV#POPPER"", ""Gwisin Gang"", ""PurpleBravo"", ""TAG-121"", ""Tenacious Pungsan""]"
actor-census--mitre:G0052,CopyKittens,G0052,false,[],9,33,"[""CopyKittens"", ""DarkHydrus"", ""LazyMeerkat"", ""Slayer Kitten""]"
actor-census--sha256:f3af96582a164ededd102196867e7afdef4da337c8c9568df3e0cf87a828fb41,Corsair Jackal,,false,[],4,5,"[""Corsair Jackal""]"
actor-census--mitre:G0132,CostaRicto,G0132,false,[],1,1,"[""CostaRicto""]"
actor-census--sha256:a6d991c20b996baa7bbeca7107bab7f746eb145e240b57e00b5647329591bcbc,Cotton Sandstorm,,false,[],7,15,"[""Cotton Sandstorm"", ""DEV-0198 (NEPTUNIUM)"", ""NEPTUNIUM"", ""Vice Leaker""]"
actor-census--sha256:c8415f30b185e3c590385aeb15b5c527e3e3db1307a191a581cf43df9be4b868,Cuboid Sandstorm,,false,[],4,10,"[""Cuboid Sandstorm"", ""DEV-0228""]"
actor-census--sha256:3a6c3ec6a08fdc30ef20e6fb1278690508ddf6c5c56416f2b49ff27b19ff7fb6,Curious Gorge,,false,[],2,3,"[""Curious Gorge""]"
actor-census--sha256:41ef062492e0530cdf1bd1c6e0f3fb79638da108ffee7962cf735379ab1c2f4e,Curious Jackal,,false,[],1,1,"[""Curious Jackal""]"
actor-census--sha256:cf16c430ed9d8f90c6fcf44928f7be61f2819fd51b990e1bb2bf4d01f916dbe7,Cyber Berkut,,false,[],2,6,"[""Cyber Berkut""]"
actor-census--sha256:b1b22086b57292227102df4961c8b514e3a14ee89e929a8b2d1abe62ebd9bf03,Cyber Caliphate Army (CCA),,false,[],2,8,"[""Cyber Caliphate Army (CCA)"", ""Islamic State Hacking Division"", ""United Cyber Caliphate (UCC)""]"
actor-census--sha256:faacf11a9aea454c25e29ec1b393f1c6100b71826af551a640e356e80041da59,Cyber fighters of Izz Ad-Din Al Qassam,,false,[],3,9,"[""Cyber fighters of Izz Ad-Din Al Qassam"", ""Fraternal Jackal""]"
actor-census--sha256:09337b8d407846933974370b961b68c687950abe45103ddcfcbc71f33315c4b9,Cyber Spetsnazs,,false,[],1,1,"[""Cyber Spetsnazs""]"
actor-census--mitre:G1034,Daggerfly,G1034,false,[],3,4,"[""BRONZE HIGHLAND"", ""Daggerfly"", ""Evasive Panda""]"
actor-census--sha256:fcc80750040f1a2d6eab910392531d8e766f3e9faeb6d0b19c7b3c6c7c242a05,Danti,,false,[],1,2,"[""Danti""]"
actor-census--mitre:G0070,Dark Caracal,G0070,false,[],4,16,"[""Dark Caracal""]"
actor-census--sha256:c1dc62801feef6d9215f3b13accef3b5af2edf426fd94aed13436727955d15df,Dark PInk,,false,[],3,5,"[""Dark PInk"", ""Saaiwc Group""]"
actor-census--mitre:G0079,DarkHydrus,G0079,false,[],7,30,"[""DarkHydrus""]"
actor-census--sha256:a82416e84d7eed437c82e3de7e2600b08ba68988ff5d86449157a327375da67d,DarkUniverse,,false,[],2,8,"[""DarkUniverse""]"
actor-census--mitre:G0105,DarkVishnya,G0105,false,[],0,0,"[""DarkVishnya""]"
actor-census--sha256:312f0cb9512714bd38d8a4f28e80d24e57211e73f40db9c5492977d4102c35f3,Denim Tsunami,,false,[],7,22,"[""Denim Tsunami"", ""DSIRF"", ""KNOTWEED""]"
actor-census--sha256:95281c376a30b72c0c06760b405da2714905f021c890dfd28500504740b184fb,DEV-0056,,false,[],2,6,"[""DEV-0056""]"
actor-census--sha256:6984fbe41e6e0576d285ab7fd79a6ac8b4085c02721ffa7c381674529b5e4dff,DEV-0133,,false,[],4,4,"[""DEV-0133""]"
actor-census--sha256:a81f3e05b1445ca4b0ecbec4b937308aba659e481bd1ced2e11ec149a19f2200,DEV-0166,,false,[],2,5,"[""DEV-0166""]"
actor-census--sha256:0c9de3c3ec4c8192b46b4769e2f946423bbf31d899ddc2aacaa6cf19733f7f86,DEV-0196,,false,[],1,1,"[""DEV-0196""]"
actor-census--sha256:bf079b7f647c5fd4af7d4cee29d0c06ede27ebac5fbd5180caa870a5a9f3a74f,DEV-0198,,false,[],2,5,"[""DEV-0198""]"
actor-census--sha256:a7c2749089fa155624d6f47230c425dd972c5c47c1150fb8e7d549447566d401,DEV-0215,,false,[],2,4,"[""DEV-0215""]"
actor-census--sha256:177b73a588f5f3bf771483e677f5b1b0ed5fbc4e927aa8db07f8ce7b58b8d640,DEV-0227,,false,[],2,2,"[""DEV-0227""]"
actor-census--sha256:51386b24fec419d0d7fd967df12d6efd9244c20d4b01dd808dfc834f74d57deb,DEV-0230,,false,[],1,1,"[""DEV-0230""]"
actor-census--sha256:134fb5e05c36576decf46697f521722ac0370bf8a9283bc67d0d26ff5f403af4,DEV-0270,,false,[],4,7,"[""DEV-0270""]"
actor-census--sha256:dccafff0dd633fddf5eea99c5bf608c2c6433a663c062d854842ec9293cb0bb9,DEV-0322,,false,[],7,17,"[""Circle Typhoon"", ""DEV-0322""]"
actor-census--sha256:c2850e51e98787b36a775da627dba7f8469418c1c2705402e27496b6999709c9,DEV-0343,,false,[],4,11,"[""DEV-0343"", ""Gray Sandstorm""]"
actor-census--sha256:9661804d8fc29d128c48d99eee70abaef6cd27dfd9fd1983b4b4663cdcb09233,DEV-0506,,false,[],1,1,"[""DEV-0506""]"
actor-census--sha256:e53a8d7033a56c150a27bd8776bff798468d58bd4f1712b014c1b98995a1e009,DEV-058613,,false,[],1,1,"[""DEV-058613""]"
actor-census--sha256:4731a60b2894aa3e46ddb445d099d96ea1a06752a8ebffdd9a63644251b41cd0,DEV-0588,,false,[],2,2,"[""DEV-0588""]"
actor-census--sha256:1f0a7d1e66c889634cda70c9966905cc3d04bdbd5b94e3a7c8a56e88a7f0bed2,DEV-0842,,false,[],5,12,"[""DEV-0842""]"
actor-census--sha256:5266760775cb35aec568e9a8659a74d20eb6338064f8efc333bb9cf84327ed22,DEV-0861,,false,[],2,6,"[""DEV-0861""]"
actor-census--sha256:9b0764e4a850d316042cd587e5a7209a75bd69c9ce69c682be0670fbedcc66c6,DEV-0960,,false,[],2,5,"[""DEV-0960""]"
actor-census--sha256:1c5349e9ac0c4d0db1c5d9aec7d3065dfbf93fa020ff779e4964414f6c1a98b1,DEV-1084,,false,[],2,2,"[""DEV-1084""]"
actor-census--sha256:5c5c12daa43ca7d2f8e81ba4ec425f123693d863735979f131c177219cb46a00,DEV-500,,false,[],1,1,"[""DEV-500""]"
actor-census--sha256:71356f4c8a37efbb435f5e2728f8f1e4878e97a2cfabe26ccb93880378095035,Dextorous Spider,,false,[],2,2,"[""Dextorous Spider""]"
actor-census--sha256:37e05547ffe1aa3e450e5ec6e7cb3f09a05a52355ac0fd5ec2108716719ec87e,Domestic Kitten,,false,[],6,17,"[""Domestic Kitten""]"
actor-census--mitre:G0035,Dragonfly,G0035,false,[],25,79,"[""ALLANITE"", ""Anger Bear"", ""Berserk Bear"", ""BROMINE"", ""Crouching Yeti"", ""Dragonfly"", ""DYMALLOY"", ""Dymalloy"", ""Energetic Bear"", ""Fertger"", ""Ghost Blizzard"", ""Group 24"", ""Havex"", ""IRON LIBERTY"", ""Koala Team"", ""PEACEPIPE"", ""TEMP.Isotope"", ""TG-4192""]"
