value,type,artifact_type,observed_at,campaign_refs,malware_refs,infrastructure_refs,roles
eu-south-1-aws.minbuza.cloud,domain,,2024-10,activity--apt29-rdp-phishing-2024,,infra--apt29-actor-controlled-rdp,rdp-endpoint
eu-south-1-aws.mzv-sk.cloud,domain,,2024-10,activity--apt29-rdp-phishing-2024,,infra--apt29-actor-controlled-rdp,rdp-endpoint
eu-south-1-aws.quirinale.cloud,domain,,2024-10,activity--apt29-rdp-phishing-2024,,infra--apt29-actor-controlled-rdp,rdp-endpoint
eu-south-1-aws.s3-be.cloud,domain,,2024-10,activity--apt29-rdp-phishing-2024,,infra--apt29-actor-controlled-rdp,rdp-endpoint
eu-south-1-aws.s3-de.cloud,domain,,2024-10,activity--apt29-rdp-phishing-2024,,infra--apt29-actor-controlled-rdp,rdp-endpoint
eu-south-1-aws.ua-gov.cloud,domain,,2024-10,activity--apt29-rdp-phishing-2024,,infra--apt29-actor-controlled-rdp,rdp-endpoint
eu-south-2-aws.amazonsolutions.cloud,domain,,2024-10,activity--apt29-rdp-phishing-2024,,infra--apt29-actor-controlled-rdp,rdp-endpoint
eu-south-2-aws.dep-no.cloud,domain,,2024-10,activity--apt29-rdp-phishing-2024,,infra--apt29-actor-controlled-rdp,rdp-endpoint
eu-south-2-aws.gov-pl.cloud,domain,,2024-10,activity--apt29-rdp-phishing-2024,,infra--apt29-actor-controlled-rdp,rdp-endpoint
eu-south-2-aws.gov-sk.cloud,domain,,2024-10,activity--apt29-rdp-phishing-2024,,infra--apt29-actor-controlled-rdp,rdp-endpoint
eu-south-2-aws.mfa-gov.cloud,domain,,2024-10,activity--apt29-rdp-phishing-2024,,infra--apt29-actor-controlled-rdp,rdp-endpoint
eu-south-2-aws.mil-be.cloud,domain,,2024-10,activity--apt29-rdp-phishing-2024,,infra--apt29-actor-controlled-rdp,rdp-endpoint
eu-south-2-aws.mil-pl.cloud,domain,,2024-10,activity--apt29-rdp-phishing-2024,,infra--apt29-actor-controlled-rdp,rdp-endpoint
eu-south-2-aws.mil-pt.cloud,domain,,2024-10,activity--apt29-rdp-phishing-2024,,infra--apt29-actor-controlled-rdp,rdp-endpoint
eu-south-2-aws.minbuza.cloud,domain,,2024-10,activity--apt29-rdp-phishing-2024,,infra--apt29-actor-controlled-rdp,rdp-endpoint
eu-south-2-aws.msz-pl.cloud,domain,,2024-10,activity--apt29-rdp-phishing-2024,,infra--apt29-actor-controlled-rdp,rdp-endpoint
eu-south-2-aws.mzv-sk.cloud,domain,,2024-10,activity--apt29-rdp-phishing-2024,,infra--apt29-actor-controlled-rdp,rdp-endpoint
eu-south-2-aws.ncfta.cloud,domain,,2024-10,activity--apt29-rdp-phishing-2024,,infra--apt29-actor-controlled-rdp,rdp-endpoint
eu-south-2-aws.quirinale.cloud,domain,,2024-10,activity--apt29-rdp-phishing-2024,,infra--apt29-actor-controlled-rdp,rdp-endpoint
eu-south-2-aws.regeringskansliet-se.cloud,domain,,2024-10,activity--apt29-rdp-phishing-2024,,infra--apt29-actor-controlled-rdp,rdp-endpoint
eu-south-2-aws.s3-be.cloud,domain,,2024-10,activity--apt29-rdp-phishing-2024,,infra--apt29-actor-controlled-rdp,rdp-endpoint
eu-south-2-aws.s3-de.cloud,domain,,2024-10,activity--apt29-rdp-phishing-2024,,infra--apt29-actor-controlled-rdp,rdp-endpoint
eu-south-2-aws.s3-esa.cloud,domain,,2024-10,activity--apt29-rdp-phishing-2024,,infra--apt29-actor-controlled-rdp,rdp-endpoint
eu-south-2-aws.s3-nato.cloud,domain,,2024-10,activity--apt29-rdp-phishing-2024,,infra--apt29-actor-controlled-rdp,rdp-endpoint
eu-south-2-aws.s3-ua.cloud,domain,,2024-10,activity--apt29-rdp-phishing-2024,,infra--apt29-actor-controlled-rdp,rdp-endpoint
